GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0048514	blood vessel morphogenesis	1.210334778288008e-12	1.210334778288008e-12	+1	ANGPT1,ANGPT4,COL3A1,PTN,AGT,RSPO3,COL4A3,TAFA5,KDR,BMPER,FGF10,ADAMTS9,IGF2,EGFL7,VEGFA,COL4A1,ADGRG1,MMRN2,ENPP2,VEGFB,MMP2,EFNA1,CXCL12,DAG1,NAXE
GO:0048646	anatomical structure formation involved in morphogenesis	1.987049062877796e-12	1.987049062877796e-12	+1	ANGPT1,ANGPT4,COL3A1,PTN,AGT,VTN,RSPO3,COL4A3,TAFA5,KDR,BMPER,FGF10,ADAMTS15,ACRBP,COL1A1,ADAMTS9,IGF2,EGFL7,FJX1,VEGFA,COL4A1,COL5A2,ADGRG1,MMRN2,LAMB1,ENPP2,VEGFB,MMP2,EFNA1,CXCL12,DAG1,NAXE
GO:0048731	system development	4.302541841791169e-12	4.302541841791169e-12	+1	ANGPT1,ANGPT4,COL3A1,REN1,PTN,POSTN,ELN,ADAMTS12,AGT,VTN,RSPO3,NPNT,RETN,INSL3,COL4A3,TRF,IL15RA,TAFA5,KDR,TNC,BMPER,FGF10,MMP17,PRXL2A,COL1A1,ADAMTS9,NRG4,ADAMTS16,IGF2,IGF1,THPO,CTF1,COL1A2,EGFL7,FJX1,VEGFA,COL4A1,COL5A2,ADAMTS7,PCSK5,COL4A4,ADGRG1,CPE,CHADL,HP,ADIPOQ,LAMA5,MMRN2,FGL2,PDGFB,LAMB1,ENPP2,PI16,LAMA4,VEGFB,MMP2,EFNA1,CXCL12
GO:2000147	positive regulation of cell motility	4.8177567553608566e-12	4.8177567553608566e-12	+1	ANGPT1,ANGPT4,PTN,POSTN,AGT,VTN,RETN,INSL3,TRF,KDR,FGF10,COL1A1,IGF2,IGF1,VEGFA,PCSK5,PDGFB,LAMB1,ENPP2,VEGFB,MMP2,CXCL12,C1QBP
GO:0048513	animal organ development	5.059052328769635e-12	5.059052328769635e-12	+1	ANGPT1,COL3A1,REN1,PTN,ELN,ADAMTS12,GREM2,AGT,VTN,RSPO3,NPNT,RETN,INSL3,COL4A3,TRF,IL15RA,KDR,TNC,BMPER,FGF10,MMP17,PRXL2A,COL1A1,ADAMTS9,NRG4,ADAMTS16,IGF2,IGF1,THPO,ASPN,COL1A2,FJX1,VEGFA,COL4A1,COL5A2,ADAMTS7,PCSK5,COL4A4,ADGRG1,CPE,CHADL,HP,ADIPOQ,LAMA5,FGL2,PDGFB,LAMB1,IGFBP7,PI16,VEGFB,MMP2,EFNA1,CXCL12
GO:0006508	proteolysis	6.598638322231028e-12	6.598638322231028e-12	+1	SERPINA3K,ITIH4,SERPINA3B,SERPINA1A,REN1,CFD,MASP1,ADAMTS12,ADAMTS4,AGT,VTN,COL4A3,TFPI,SPON1,COL28A1,TINAGL1,MMP17,ADAMTS15,ACRBP,ADAMTS9,ADAMTS16,CPZ,CPXM1,IGF1,VEGFA,ADAMTS14,SERPINA3C,ADAMTS7,C2,PCOLCE,PCSK5,CPE,HP
GO:0040017	positive regulation of locomotion	9.185795733398537e-12	9.185795733398537e-12	+1	ANGPT1,ANGPT4,PTN,POSTN,AGT,VTN,RETN,INSL3,TRF,KDR,FGF10,COL1A1,IGF2,IGF1,VEGFA,PCSK5,PDGFB,LAMB1,ENPP2,VEGFB,MMP2,CXCL12,C1QBP
GO:0048856	anatomical structure development	9.298904737384766e-12	9.298904737384766e-12	+1	ANGPT1,ANGPT4,COL3A1,REN1,PTN,POSTN,ELN,ADAMTS12,GREM2,AGT,VTN,RSPO3,NPNT,RETN,INSL3,COL4A3,TRF,IL15RA,TAFA5,KDR,CAP2,TNC,BMPER,FGF10,MMP17,ADAMTS15,ACRBP,PRXL2A,COL1A1,ADAMTS9,NRG4,ADAMTS16,IGF2,IGF1,THPO,CTF1,ASPN,COL1A2,EGFL7,FJX1,VEGFA,COL4A1,COL5A2,ADAMTS7,PCSK5,COL4A4,ADGRG1,CPE,CHADL,HP,ADIPOQ,LAMA5,ZBED3,SPARCL1,MMRN2,FGL2,PDGFB,LAMB1,ENPP2,IGFBP7,PI16,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,YBX1,C1QBP,DAG1
GO:0051241	negative regulation of multicellular organismal process	1.538410203947357e-11	1.538410203947357e-11	+1	ANGPT1,PTGDS,ANGPT4,PTN,ADAMTS12,AGT,VTN,RETN,APOC1,COL4A3,TFPI,TAFA5,ADAMTS9,IGF1,ASPN,VEGFA,ADAMTS7,CPE,CHADL,ADIPOQ,RNLS,MMRN2,FGL2,PDGFB,PI16,LAMA4,MMP2,EFNA1,C1QBP,NAXE
GO:0010632	regulation of epithelial cell migration	1.578152053774603e-11	1.578152053774603e-11	+1	ANGPT1,ANGPT4,PTN,AGT,INSL3,KDR,BMPER,FGF10,ADAMTS9,IGF2,IGF1,VEGFA,MMRN2,PDGFB,ENPP2,EFNA1
GO:0030335	positive regulation of cell migration	1.978397078109897e-11	1.978397078109897e-11	+1	ANGPT1,ANGPT4,PTN,POSTN,AGT,VTN,RETN,INSL3,KDR,FGF10,COL1A1,IGF2,IGF1,VEGFA,PCSK5,PDGFB,LAMB1,ENPP2,VEGFB,MMP2,CXCL12,C1QBP
GO:0001655	urogenital system development	2.3466657806060953e-11	2.3466657806060953e-11	+1	ANGPT1,REN1,AGT,NPNT,COL4A3,TNC,BMPER,FGF10,MMP17,ADAMTS16,IGF1,VEGFA,COL4A1,PCSK5,COL4A4,ADIPOQ,LAMA5,PDGFB,MMP2
GO:2000026	regulation of multicellular organismal development	4.503208677996163e-11	4.503208677996163e-11	+1	ANGPT4,PTN,ADAMTS12,AGT,RETN,COL4A3,TRF,IL15RA,TAFA5,KDR,BMPER,FGF10,PRXL2A,ADAMTS9,IGF2,IGF1,THPO,ASPN,VEGFA,ADAMTS7,CHADL,ADIPOQ,LAMA5,ZBED3,MMRN2,FGL2,ENPP2,PI16,LAMA4,VEGFB,EFNA1,CXCL12,DAG1,NAXE
GO:0032502	developmental process	5.3614459170794817e-11	5.3614459170794817e-11	+1	ANGPT1,ANGPT4,COL3A1,REN1,PTN,POSTN,ELN,ADAMTS12,GREM2,AGT,VTN,RSPO3,NPNT,RETN,INSL3,COL4A3,TRF,IL15RA,TAFA5,KDR,CAP2,TNC,BMPER,FGF10,MMP17,ADAMTS15,ACRBP,PRXL2A,COL1A1,ADAMTS9,NRG4,ADAMTS16,IGF2,IGF1,THPO,CTF1,ASPN,COL1A2,EGFL7,FJX1,VEGFA,COL4A1,COL5A2,ADAMTS7,PCSK5,COL4A4,ADGRG1,CPE,CHADL,HP,KAZALD1,ADIPOQ,LAMA5,ZBED3,SPARCL1,MMRN2,FGL2,LPL,PDGFB,LAMB1,ENPP2,IGFBP7,PI16,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,YBX1,C1QBP,DAG1,NGRN,NAXE
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	7.010141669260599e-11	7.010141669260599e-11	+1	ANGPT1,ANGPT4,ADAMTS12,AGT,COL4A3,KDR,COL4A5,FGF10,COL1A1,NRG4,FGFBP3,IGF2,C1QTNF12,IGF1,VEGFA,COL4A1,ADIPOQ,MMRN2,PDGFB,VEGFB,EFNA1,YBX1
GO:0010631	epithelial cell migration	1.2038380170543771e-10	1.2038380170543771e-10	+1	ANGPT1,ANGPT4,PTN,AGT,INSL3,KDR,BMPER,FGF10,ADAMTS9,IGF2,IGF1,VEGFA,MMRN2,PDGFB,ENPP2,EFNA1,CXCL12
GO:0009888	tissue development	1.29014469185945e-10	1.29014469185945e-10	+1	ANGPT1,ANGPT4,COL3A1,PTN,POSTN,ELN,ADAMTS12,AGT,VTN,RSPO3,NPNT,KDR,TNC,BMPER,FGF10,COL1A1,ADAMTS9,ADAMTS16,IGF2,IGF1,ASPN,COL1A2,VEGFA,COL4A1,COL5A2,ADAMTS7,CHADL,ADIPOQ,LAMA5,MMRN2,PDGFB,LAMB1,PI16,MMP2,EFNA1,CXCL12,YBX1,DAG1
GO:0090132	epithelium migration	1.4070858451371962e-10	1.4070858451371962e-10	+1	ANGPT1,ANGPT4,PTN,AGT,INSL3,KDR,BMPER,FGF10,ADAMTS9,IGF2,IGF1,VEGFA,MMRN2,PDGFB,ENPP2,EFNA1,CXCL12
GO:0048519	negative regulation of biological process	1.6922436348455235e-10	1.6922436348455235e-10	+1	SERPINA3K,ITIH4,SERPINA3B,SERPINA1A,ANGPT1,PTGDS,ANGPT4,COL3A1,MASP1,PTN,POSTN,ADAMTS12,GREM2,AGT,VTN,RETN,APOC1,INSL3,COL4A3,TFPI,IL15RA,TAFA5,KDR,SPON1,COL28A1,TNC,BMPER,FGF10,MMRN1,COL1A1,ADAMTS9,PODN,IGF2,C1QTNF12,FABP5,IGF1,ASPN,EGFL7,VEGFA,COL5A2,SERPINA3C,ADAMTS7,NAMPT,ADGRG1,CPE,CHADL,ADIPOQ,RNLS,ZBED3,MMRN2,FGL2,LPL,PDGFB,LAMB1,ENPP2,PI16,QSOX1,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,YBX1,C1QBP,HNRNPA2B1,DAG1,NAXE,PON3
GO:0048583	regulation of response to stimulus	1.883415773617487e-10	1.883415773617487e-10	+1	ANGPT1,COL3A1,REN1,CFD,MASP1,PTN,POSTN,ADAMTS12,GREM2,AGT,VTN,RSPO3,NPNT,MFAP4,INSL3,TFPI,TAFA5,KDR,TNC,BMPER,FGF10,MMRN1,IL17RB,COL1A1,FGFBP3,IGF2,C1QTNF12,FABP5,IGF1,THPO,ASPN,EGFL7,VEGFA,C2,PCSK5,C1QTNF2,ADGRG1,KAZALD1,ADIPOQ,ZBED3,MMRN2,FGL2,LPL,PDGFB,LAMB1,IGFBP7,PI16,VEGFB,EFNA1,CXCL12,YBX1,C1QBP,DAG1
GO:0090130	tissue migration	1.9130290487869075e-10	1.9130290487869075e-10	+1	ANGPT1,ANGPT4,PTN,AGT,INSL3,KDR,BMPER,FGF10,ADAMTS9,IGF2,IGF1,VEGFA,MMRN2,PDGFB,ENPP2,EFNA1,CXCL12
GO:0050789	regulation of biological process	2.1693034579314387e-10	2.1693034579314387e-10	+1	SERPINA3K,ITIH4,SERPINA3B,SERPINA1A,ANGPT1,PTGDS,LIPG,ANGPT4,COL3A1,PON1,REN1,CFD,MASP1,PTN,POSTN,ELN,ADAMTS12,GREM2,AGT,VTN,RSPO3,NPNT,RETN,APOC1,MFAP4,INSL3,COL4A3,TRF,TFPI,IL15RA,TAFA5,KDR,SPON1,COL28A1,CAP2,TNC,BMPER,COL4A5,FGF10,MMRN1,LGI3,IL17RB,ACRBP,PRXL2A,COL1A1,ADAMTS9,NRG4,PODN,ADAMTS16,FGFBP3,IGF2,CPZ,C1QTNF12,FABP5,OLFML2B,IGF1,THPO,CTF1,ASPN,COL1A2,EGFL7,VEGFA,COL4A1,COL5A2,ADAMTS14,SERPINA3C,ADAMTS7,NAMPT,C2,PCOLCE,PCSK5,C1QTNF2,ADGRG1,CPE,CHADL,HP,KAZALD1,ADIPOQ,LUM,LAMA5,ECM2,RNLS,ZBED3,SPARCL1,MMRN2,FGL2,LPL,PDGFB,LAMB1,ENPP2,IGFBP7,PI16,QSOX1,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,YBX1,C1QBP,HNRNPA2B1,DAG1
GO:0050793	regulation of developmental process	2.402952322065198e-10	2.402952322065198e-10	+1	ANGPT4,PTN,POSTN,ADAMTS12,AGT,NPNT,RETN,COL4A3,TRF,IL15RA,TAFA5,KDR,BMPER,FGF10,PRXL2A,COL1A1,ADAMTS9,IGF2,IGF1,THPO,ASPN,VEGFA,COL5A2,ADAMTS7,CPE,CHADL,ADIPOQ,LAMA5,ZBED3,MMRN2,FGL2,LPL,PDGFB,LAMB1,ENPP2,PI16,LAMA4,VEGFB,EFNA1,CXCL12,YBX1,C1QBP,DAG1,NAXE
GO:0001763	morphogenesis of a branching structure	3.273224989542084e-10	3.273224989542084e-10	+1	ANGPT1,AGT,RSPO3,NPNT,KDR,TNC,FGF10,ADAMTS16,IGF1,VEGFA,COL4A1,CPE,LAMA5,CXCL12,DAG1
GO:0050896	response to stimulus	3.7305964202522083e-10	3.7305964202522083e-10	+1	ITIH4,SERPINA1A,ANGPT1,PTGDS,LIPG,ANGPT4,COL3A1,PON1,REN1,CFD,MASP1,PTN,POSTN,ADAMTS12,GREM2,ADAMTS4,AGT,VTN,RSPO3,NPNT,RETN,MFAP4,INSL3,COL4A3,TRF,TFPI,IL15RA,TAFA5,KDR,CAP2,TNC,LYZ1,BMPER,COL4A5,FGF10,MMRN1,IL17RB,PRXL2A,COL1A1,ADAMTS9,ENTPD6,NRG4,FGFBP3,IGF2,CPZ,C1QTNF12,FABP5,OLFML2B,IGF1,THPO,CTF1,ASPN,COL1A2,EGFL7,VEGFA,COL4A1,COL5A2,ADAMTS14,SERPINA3C,ADAMTS7,NAMPT,C2,PCOLCE,PCSK5,C1QTNF2,ADGRG1,CPE,HP,KAZALD1,ADIPOQ,LAMA5,ZBED3,SPARCL1,MMRN2,FGL2,LPL,PDGFB,LAMB1,AMY1,ENPP2,IGFBP7,PI16,VEGFB,MMP2,EFNA1,CXCL12,YBX1,C1QBP
GO:0001667	ameboidal-type cell migration	3.8489717125504484e-10	3.8489717125504484e-10	+1	ANGPT1,ANGPT4,PTN,AGT,INSL3,KDR,BMPER,FGF10,ADAMTS9,IGF2,IGF1,VEGFA,LAMA5,MMRN2,PDGFB,ENPP2,EFNA1,CXCL12,C1QBP
GO:0009605	response to external stimulus	4.607881746013079e-10	4.607881746013079e-10	+1	ANGPT1,LIPG,COL3A1,PON1,REN1,CFD,MASP1,PTN,POSTN,ADAMTS12,ADAMTS4,AGT,VTN,NPNT,MFAP4,TRF,TFPI,TAFA5,KDR,TNC,LYZ1,FGF10,MMRN1,IL17RB,COL1A1,ADAMTS9,IGF2,C1QTNF12,IGF1,VEGFA,C2,HP,ADIPOQ,LAMA5,MMRN2,FGL2,LPL,PDGFB,AMY1,ENPP2,VEGFB,MMP2,EFNA1,CXCL12,C1QBP,DAG1
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	5.967092970612383e-10	5.967092970612383e-10	+1	ANGPT1,ANGPT4,AGT,VTN,FGF10,IGF2,IGF1,CTF1,VEGFA,ADIPOQ,PDGFB,ENPP2,VEGFB,EFNA1
GO:0030199	collagen fibril organization	1.0161115097336053e-9	1.0161115097336053e-9	+1	COL3A1,ADAMTS12,COL1A1,COL1A2,COL5A2,ADAMTS14,ADAMTS7,CHADL,LUM
GO:0072001	renal system development	1.7724208473473633e-9	1.7724208473473633e-9	+1	ANGPT1,REN1,AGT,NPNT,COL4A3,BMPER,FGF10,MMP17,ADAMTS16,VEGFA,COL4A1,PCSK5,COL4A4,ADIPOQ,LAMA5,PDGFB
GO:0061138	morphogenesis of a branching epithelium	1.9345910334838216e-9	1.9345910334838216e-9	+1	ANGPT1,AGT,RSPO3,NPNT,KDR,TNC,FGF10,ADAMTS16,IGF1,VEGFA,COL4A1,LAMA5,CXCL12,DAG1
GO:0010594	regulation of endothelial cell migration	2.1851398315002468e-9	2.1851398315002468e-9	+1	ANGPT1,ANGPT4,PTN,AGT,KDR,BMPER,ADAMTS9,IGF2,IGF1,VEGFA,MMRN2,PDGFB,EFNA1
