GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0048870	cell motility	5.2599684442595345e-21	5.2599684442595345e-21	+1	CCL21A,CCL19,CTHRC1,CCL22,CXCL13,POSTN,COL3A1,COL1A1,PTN,TIMP1,CCL5,SFRP2,CCL6,SORL1,FN1,DPP4,IGFBP6,MMP2,PLA2G7,CCL9,ANG,ACE,IGSF10,FGF18,EDN1,SPP1,CCL8,HPSE,ADAMTS12,FSTL1,FGF7,CALR,IL16,ADAM17,CD40,SDCBP,TNFAIP6,ECM1,TRF,EMILIN1,FAP,GPI1,CHL1,LOXL2,HMGB2,APOE,SPARC,HYAL1,VTN,SERPINF1,NINJ1,COL5A1,CD63,PLAT,DCN,PCSK5,LAMA2,LAMB1,CXCL12,JAM3,C1QBP
GO:0050896	response to stimulus	6.042168482341473e-21	6.042168482341473e-21	+1	CPZ,CCL21A,IL22RA2,CCL19,CTHRC1,LTA,CCL22,CXCL13,COL1A2,IL1R2,PON1,POSTN,COL3A1,COL1A1,PTN,TIMP1,SFRP4,CCL5,SFRP2,PGLYRP2,CCL6,MMP3,C3,ADAMTS4,ANGPTL1,RNASE6,LIPG,SORL1,CLU,CLEC11A,FN1,OLFML2B,DPP4,SPON2,FST,IGFBP6,MMP2,CD5L,PCOLCE,FGL2,PLA2G7,CTSS,DKK2,SSC5D,CTSK,CST7,CCL9,CFP,SERPINB1A,ANG,C1QA,ACE,PRXL2A,SEMA3B,COL4A5,CNP,PI16,CD48,ANGPTL8,CFD,RNASET2B,FGF18,EDN1,WNT2,SPP1,LYZ2,CCL8,PGLYRP1,HPSE,ADAMTS12,LY86,CHSY1,FSTL1,TSLP,FGF7,GREM2,IL15RA,CLEC3B,FBN1,ORM1,ORM3,HSP90AB1,ST3GAL1,CALR,VWA1,C1QB,IL16,ADAM17,CD40,SDCBP,IL4RA,TNFAIP6,ECM1,DHH,C1QC,HP,ENTPD6,BMP1,IL18BP,TRF,GPX3,ADAMTS14,GZMA,WFDC21,EMILIN1,FAP,MMP19,GPI1,GSDMD,MILR1,THPO,OGN,CHL1,CD14,LOXL2,CP,LOXL3,COL5A2,HMGB2,APOE,SPARC,HYAL1,C1QTNF12,VTN,ASPN,NAMPT,ABCD1,SERPINF1,IL11RA1,NINJ1,FABP5,CPE,NUCB2,COL5A1,SRGN,NPC2,CD63,PLAT,DCN,PCSK5,AMY1,LAMA2,FLT3L,PON3,YBX1,LAG3,LAMB1,C1RL,CTSB,ADAM23,CXCL12,JAM3,CHID1,C1QBP
GO:0048856	anatomical structure development	2.3324929806586356e-20	2.3324929806586356e-20	+1	CCL21A,CCL19,CTHRC1,LTA,CXCL13,COL1A2,POSTN,COL3A1,COL1A1,PTN,TIMP1,SFRP4,MFAP2,CCL5,SFRP2,PGLYRP2,C3,SORL1,CLU,FN1,DPP4,LRRC17,HAPLN4,FST,MMP2,FGL2,DKK2,CTSK,CST7,CCL9,ANG,C1QA,ACE,PRXL2A,SEMA3B,CNP,IGSF10,PI16,ANGPTL8,FGF18,EDN1,WNT2,SPP1,CCL8,PGLYRP1,HPSE,ADAMTS12,COL14A1,CHSY1,ACRBP,FSTL1,FGF7,GREM2,IL15RA,ELN,CLEC3B,FBN1,HSP90AB1,ST3GAL1,ADAMTS15,CALR,MFAP5,C1QB,ADAM17,CD40,SDCBP,IL4RA,TNFAIP6,ECM1,DHH,C1QC,HP,BMP1,DNASE1L2,TRF,EFEMP2,CRISPLD1,EMILIN1,FAP,MMP19,GPI1,THPO,CHL1,LOXL2,LOXL3,COL5A2,HMGB2,APOE,SPARC,HYAL1,VTN,ASPN,ABCD1,SERPINF1,CPQ,IL11RA1,NINJ1,CPE,COL5A1,SRGN,CD63,DCN,PCSK5,LAMA2,FLT3L,YBX1,ADAMTS2,LAG3,LAMB1,CTSB,CYB5D2,CXCL12,JAM3,C1QBP,NAXE,PPT1
GO:0006950	response to stress	1.1635734187892493e-19	1.1635734187892493e-19	+1	CCL21A,IL22RA2,CCL19,LTA,CCL22,CXCL13,IL1R2,COL3A1,COL1A1,PTN,TIMP1,SFRP4,CCL5,SFRP2,PGLYRP2,CCL6,C3,ADAMTS4,RNASE6,CLU,FN1,DPP4,SPON2,IGFBP6,MMP2,CD5L,FGL2,PLA2G7,CTSS,SSC5D,CST7,CCL9,CFP,SERPINB1A,ANG,C1QA,ACE,CFD,RNASET2B,EDN1,SPP1,LYZ2,CCL8,PGLYRP1,HPSE,ADAMTS12,LY86,TSLP,FGF7,ORM1,ORM3,HSP90AB1,CALR,VWA1,C1QB,IL16,ADAM17,CD40,IL4RA,TNFAIP6,ECM1,C1QC,HP,TRF,GPX3,WFDC21,EMILIN1,GPI1,GSDMD,CHL1,CD14,LOXL2,LOXL3,HMGB2,APOE,HYAL1,C1QTNF12,VTN,NAMPT,ABCD1,SERPINF1,NINJ1,COL5A1,PLAT,YBX1,LAG3,C1RL,CXCL12,JAM3,CHID1,C1QBP
GO:0007275	multicellular organism development	2.305591329198571e-19	2.305591329198571e-19	+1	CCL21A,CCL19,CTHRC1,LTA,CXCL13,COL1A2,POSTN,COL3A1,COL1A1,PTN,TIMP1,SFRP4,MFAP2,CCL5,SFRP2,PGLYRP2,C3,SORL1,CLU,FN1,DPP4,LRRC17,HAPLN4,FST,MMP2,FGL2,DKK2,CTSK,CST7,ANG,C1QA,ACE,PRXL2A,SEMA3B,CNP,IGSF10,PI16,FGF18,EDN1,WNT2,SPP1,PGLYRP1,HPSE,ADAMTS12,COL14A1,CHSY1,FGF7,GREM2,IL15RA,ELN,FBN1,HSP90AB1,ST3GAL1,CALR,MFAP5,ADAM17,CD40,SDCBP,IL4RA,TNFAIP6,ECM1,DHH,C1QC,HP,BMP1,TRF,EFEMP2,EMILIN1,FAP,MMP19,GPI1,THPO,CHL1,LOXL2,LOXL3,COL5A2,HMGB2,APOE,SPARC,HYAL1,VTN,ASPN,ABCD1,SERPINF1,IL11RA1,NINJ1,CPE,COL5A1,SRGN,DCN,PCSK5,LAMA2,FLT3L,YBX1,ADAMTS2,LAG3,LAMB1,CYB5D2,CXCL12,JAM3,C1QBP,NAXE,PPT1
GO:0007166	cell surface receptor signaling pathway	2.7779348708731695e-19	2.7779348708731695e-19	+1	CPZ,CCL21A,IL22RA2,CCL19,CTHRC1,CCL22,CXCL13,COL1A2,IL1R2,POSTN,COL3A1,COL1A1,PTN,TIMP1,SFRP4,CCL5,SFRP2,CCL6,C3,ANGPTL1,SORL1,FN1,FST,IGFBP6,DKK2,CCL9,SEMA3B,COL4A5,CFD,FGF18,EDN1,WNT2,CCL8,ADAMTS12,LY86,CHSY1,FSTL1,TSLP,FGF7,GREM2,IL15RA,FBN1,HSP90AB1,ADAM17,CD40,SDCBP,IL4RA,TNFAIP6,ECM1,DHH,HP,TRF,ADAMTS14,EMILIN1,MILR1,THPO,CD14,LOXL3,HMGB2,APOE,C1QTNF12,ASPN,IL11RA1,CPE,NUCB2,CD63,PLAT,DCN,PCSK5,LAMA2,YBX1,LAG3,LAMB1
GO:0048731	system development	8.390069383560311e-19	8.390069383560311e-19	+1	CCL21A,CCL19,CTHRC1,LTA,CXCL13,COL1A2,POSTN,COL3A1,COL1A1,PTN,TIMP1,SFRP4,MFAP2,CCL5,SFRP2,PGLYRP2,C3,SORL1,CLU,FN1,DPP4,LRRC17,HAPLN4,FST,MMP2,FGL2,CTSK,CST7,ANG,C1QA,ACE,PRXL2A,SEMA3B,CNP,IGSF10,PI16,FGF18,EDN1,WNT2,SPP1,PGLYRP1,HPSE,ADAMTS12,COL14A1,CHSY1,FGF7,IL15RA,ELN,FBN1,HSP90AB1,ST3GAL1,CALR,MFAP5,ADAM17,CD40,SDCBP,IL4RA,TNFAIP6,ECM1,DHH,C1QC,HP,BMP1,TRF,EFEMP2,EMILIN1,FAP,MMP19,THPO,CHL1,LOXL2,LOXL3,COL5A2,HMGB2,APOE,SPARC,HYAL1,VTN,ABCD1,SERPINF1,IL11RA1,NINJ1,CPE,COL5A1,DCN,PCSK5,LAMA2,FLT3L,ADAMTS2,LAG3,LAMB1,CYB5D2,CXCL12,JAM3,NAXE,PPT1
GO:0048513	animal organ development	8.408861664464931e-19	8.408861664464931e-19	+1	CCL21A,CCL19,CTHRC1,LTA,CXCL13,COL1A2,COL3A1,COL1A1,PTN,TIMP1,SFRP4,MFAP2,CCL5,SFRP2,PGLYRP2,SORL1,CLU,FN1,DPP4,LRRC17,FST,MMP2,FGL2,CTSK,ACE,PRXL2A,CNP,PI16,FGF18,EDN1,WNT2,SPP1,PGLYRP1,HPSE,ADAMTS12,COL14A1,CHSY1,FGF7,GREM2,IL15RA,ELN,CLEC3B,FBN1,HSP90AB1,ST3GAL1,CALR,MFAP5,C1QB,ADAM17,SDCBP,IL4RA,TNFAIP6,ECM1,DHH,C1QC,HP,BMP1,DNASE1L2,TRF,EFEMP2,EMILIN1,MMP19,THPO,LOXL2,LOXL3,COL5A2,HMGB2,SPARC,HYAL1,VTN,ASPN,SERPINF1,IL11RA1,NINJ1,CPE,COL5A1,SRGN,PCSK5,LAMA2,FLT3L,ADAMTS2,LAG3,LAMB1,CTSB,CXCL12,JAM3
GO:0040011	locomotion	1.6501070404564614e-18	1.6501070404564614e-18	+1	CCL21A,CCL19,CCL22,CXCL13,POSTN,COL3A1,COL1A1,PTN,TIMP1,CCL5,SFRP2,CCL6,SORL1,FN1,DPP4,MMP2,PLA2G7,CCL9,ACE,IGSF10,FGF18,EDN1,SPP1,CCL8,HPSE,FGF7,CALR,IL16,ADAM17,CD40,SDCBP,TNFAIP6,ECM1,TRF,EMILIN1,GPI1,CHL1,HMGB2,APOE,SPARC,HYAL1,VTN,SERPINF1,NINJ1,CD63,DCN,PCSK5,LAMA2,LAMB1,CXCL12,JAM3,C1QBP
GO:0030199	collagen fibril organization	1.903198977177667e-18	1.903198977177667e-18	+1	COL1A2,COL3A1,COL1A1,SFRP2,LUM,AEBP1,ADAMTS12,COL14A1,EFEMP2,ADAMTS14,EMILIN1,LOXL2,LOXL3,COL5A2,COL5A1,ADAMTS2
GO:0048583	regulation of response to stimulus	3.5765150609994435e-18	3.5765150609994435e-18	+1	CCL21A,IL22RA2,CCL19,CTHRC1,LTA,CCL22,CXCL13,IL1R2,POSTN,COL3A1,COL1A1,PTN,TIMP1,SFRP4,CCL5,SFRP2,PGLYRP2,CCL6,C3,SORL1,CLU,FN1,DPP4,FST,IGFBP6,CD5L,FGL2,PLA2G7,CTSS,DKK2,CST7,CCL9,CFP,SERPINB1A,C1QA,ACE,PI16,CD48,CFD,FGF18,EDN1,CCL8,PGLYRP1,HPSE,ADAMTS12,LY86,CHSY1,FSTL1,TSLP,GREM2,FBN1,HSP90AB1,CALR,C1QB,IL16,ADAM17,CD40,SDCBP,IL4RA,TNFAIP6,ECM1,C1QC,EMILIN1,THPO,CD14,LOXL3,HMGB2,APOE,C1QTNF12,VTN,ASPN,ABCD1,SERPINF1,NINJ1,FABP5,NUCB2,CD63,PLAT,DCN,PCSK5,LAMA2,YBX1,LAG3,LAMB1,C1RL,CXCL12,JAM3,C1QBP
GO:0050793	regulation of developmental process	5.2007554336046524e-18	5.2007554336046524e-18	+1	CCL19,CTHRC1,LTA,POSTN,COL1A1,PTN,SFRP4,CCL5,SFRP2,PGLYRP2,C3,SORL1,CLU,FN1,LRRC17,FST,FGL2,CTSK,CST7,CCL9,ACE,PRXL2A,PI16,FGF18,EDN1,WNT2,CCL8,PGLYRP1,HPSE,ADAMTS12,COL14A1,FGF7,IL15RA,FBN1,HSP90AB1,CALR,ADAM17,CD40,SDCBP,IL4RA,TNFAIP6,ECM1,C1QC,BMP1,TRF,EFEMP2,EMILIN1,THPO,LOXL2,LOXL3,COL5A2,HMGB2,APOE,SPARC,HYAL1,ASPN,SERPINF1,NINJ1,CPE,NUCB2,COL5A1,SRGN,DCN,LAMA2,FLT3L,YBX1,LAG3,LAMB1,CYB5D2,CXCL12,C1QBP,NAXE
GO:0032502	developmental process	7.348809173850504e-18	7.348809173850504e-18	+1	CCL21A,CCL19,CTHRC1,LTA,CXCL13,COL1A2,POSTN,COL3A1,COL1A1,PTN,TIMP1,SFRP4,MFAP2,CCL5,SFRP2,PGLYRP2,C3,SORL1,CLU,FN1,DPP4,LRRC17,HAPLN4,FST,MMP2,FGL2,DKK2,CTSK,CST7,CCL9,ANG,C1QA,ACE,PRXL2A,SEMA3B,CNP,IGSF10,PI16,ANGPTL8,FGF18,EDN1,WNT2,SPP1,CCL8,PGLYRP1,HPSE,ADAMTS12,COL14A1,CHSY1,ACRBP,FSTL1,FGF7,GREM2,IL15RA,ELN,CLEC3B,FBN1,HSP90AB1,ST3GAL1,ADAMTS15,CALR,MFAP5,C1QB,ADAM17,CD40,SDCBP,IL4RA,TNFAIP6,ECM1,DHH,C1QC,HP,BMP1,DNASE1L2,TRF,EFEMP2,CRISPLD1,WFDC21,EMILIN1,FAP,MMP19,GPI1,THPO,CHL1,LOXL2,LOXL3,COL5A2,HMGB2,APOE,SPARC,HYAL1,VTN,ASPN,ABCD1,SERPINF1,CPQ,IL11RA1,NINJ1,CPE,NUCB2,COL5A1,SRGN,CD63,DCN,PCSK5,LAMA2,FLT3L,YBX1,ADAMTS2,LAG3,LAMB1,CTSB,CYB5D2,CXCL12,JAM3,C1QBP,NAXE,PPT1
GO:0030334	regulation of cell migration	1.3921052966245698e-17	1.3921052966245698e-17	+1	CCL21A,CCL19,CXCL13,POSTN,COL3A1,COL1A1,PTN,TIMP1,CCL5,SFRP2,SORL1,FN1,DPP4,MMP2,PLA2G7,ACE,IGSF10,FGF18,EDN1,HPSE,FGF7,CALR,ADAM17,CD40,SDCBP,TNFAIP6,ECM1,EMILIN1,GPI1,APOE,SPARC,HYAL1,VTN,SERPINF1,NINJ1,CD63,DCN,PCSK5,LAMA2,LAMB1,CXCL12,JAM3,C1QBP
GO:0040012	regulation of locomotion	1.6188549948401203e-17	1.6188549948401203e-17	+1	CCL21A,CCL19,CXCL13,POSTN,COL3A1,COL1A1,PTN,TIMP1,CCL5,SFRP2,SORL1,FN1,DPP4,MMP2,PLA2G7,ACE,IGSF10,FGF18,EDN1,HPSE,FGF7,CALR,IL16,ADAM17,CD40,SDCBP,TNFAIP6,ECM1,TRF,EMILIN1,GPI1,APOE,SPARC,HYAL1,VTN,SERPINF1,NINJ1,CD63,DCN,PCSK5,LAMA2,LAMB1,CXCL12,JAM3,C1QBP
GO:2000145	regulation of cell motility	1.8927536366550174e-17	1.8927536366550174e-17	+1	CCL21A,CCL19,CXCL13,POSTN,COL3A1,COL1A1,PTN,TIMP1,CCL5,SFRP2,SORL1,FN1,DPP4,MMP2,PLA2G7,ACE,IGSF10,FGF18,EDN1,HPSE,FGF7,CALR,ADAM17,CD40,SDCBP,TNFAIP6,ECM1,TRF,EMILIN1,GPI1,APOE,SPARC,HYAL1,VTN,SERPINF1,NINJ1,CD63,DCN,PCSK5,LAMA2,LAMB1,CXCL12,JAM3,C1QBP
GO:0051241	negative regulation of multicellular organismal process	1.9526903758711006e-17	1.9526903758711006e-17	+1	CXCL13,IL1R2,PTN,TIMP1,SFRP2,PGLYRP2,SORL1,APOC1,FN1,LRRC17,MMP2,FGL2,SSC5D,CTSK,SERPINB1A,ACE,PI16,PGLYRP1,ADAMTS12,CHSY1,FBN1,HSP90AB1,CALR,ADAM17,IL4RA,TNFAIP6,ECM1,C1QC,EMILIN1,LOXL2,LOXL3,APOE,SPARC,VTN,ASPN,ABCD1,SERPINF1,CPE,SRGN,CD63,PLAT,DCN,LAG3,CHID1,C1QBP,NAXE
GO:0002682	regulation of immune system process	3.8289982082587273e-17	3.8289982082587273e-17	+1	CCL21A,CCL19,LTA,CXCL13,COL3A1,PTN,CCL5,PGLYRP2,C3,FN1,DPP4,LRRC17,SPON2,CD5L,FGL2,PLA2G7,CST7,CFP,SERPINB1A,C1QA,PRXL2A,CD48,CFD,EDN1,PGLYRP1,TSLP,IL15RA,FBN1,ORM1,ORM3,CALR,C1QB,ADAM17,CD40,IL4RA,TNFAIP6,ECM1,C1QC,EMILIN1,GPI1,MILR1,THPO,CD14,LOXL3,HMGB2,APOE,NINJ1,FLT3L,LAG3,C1RL,CXCL12,JAM3,C1QBP,KARS
GO:0032101	regulation of response to external stimulus	4.505925228161478e-17	4.505925228161478e-17	+1	CCL21A,IL22RA2,CCL19,LTA,CXCL13,PTN,CCL5,PGLYRP2,C3,FN1,DPP4,FGL2,PLA2G7,CTSS,CST7,SERPINB1A,ACE,FGF18,EDN1,PGLYRP1,HPSE,ADAMTS12,LY86,TSLP,CALR,IL16,ADAM17,TNFAIP6,EMILIN1,CD14,HMGB2,APOE,C1QTNF12,VTN,SERPINF1,NINJ1,NUCB2,PLAT,LAG3,CXCL12,JAM3,C1QBP,KARS
GO:2000026	regulation of multicellular organismal development	1.8725185286697945e-16	1.8725185286697945e-16	+1	CCL19,LTA,PTN,SFRP4,CCL5,SFRP2,PGLYRP2,C3,SORL1,FN1,LRRC17,FST,FGL2,CTSK,CST7,ACE,PRXL2A,PI16,FGF18,EDN1,WNT2,PGLYRP1,HPSE,ADAMTS12,COL14A1,IL15RA,FBN1,CD40,IL4RA,TNFAIP6,ECM1,C1QC,BMP1,TRF,EMILIN1,THPO,LOXL2,LOXL3,HMGB2,APOE,SPARC,HYAL1,ASPN,SERPINF1,NINJ1,SRGN,DCN,LAMA2,FLT3L,LAG3,CXCL12,NAXE
GO:0032501	multicellular organismal process	4.3141468314649817e-16	4.3141468314649817e-16	+1	CCL21A,CCL19,CTHRC1,LTA,CXCL13,COL1A2,IL1R2,PON1,POSTN,COL3A1,COL1A1,PTN,TIMP1,SFRP4,MFAP2,CCL5,SFRP2,PGLYRP2,C3,LUM,LIPG,SORL1,CLU,CLEC11A,APOC1,FN1,DPP4,LRRC17,SPON2,HAPLN4,FST,MMP2,FGL2,PLA2G7,CTSS,DKK2,SSC5D,CTSK,CST7,SERPINB1A,ANG,C1QA,ACE,PRXL2A,SEMA3B,NAPSA,CNP,IGSF10,PI16,IDE,FGF18,EDN1,WNT2,SPP1,PGLYRP1,HPSE,ADAMTS12,COL14A1,CHSY1,ACRBP,FSTL1,TSLP,FGF7,GREM2,IL15RA,ELN,CLEC3B,FBN1,HSP90AB1,ST3GAL1,CALR,MFAP5,VWA1,IL16,ADAM17,CD40,SDCBP,IL4RA,TNFAIP6,ECM1,DHH,C1QC,HP,BMP1,DNASE1L2,SCPEP1,TRF,EFEMP2,RNPEP,EMILIN1,FAP,MMP19,GPI1,GSDMD,THPO,CHL1,CD14,LOXL2,LOXL3,COL5A2,HMGB2,APOE,SPARC,HYAL1,VTN,ASPN,NAMPT,ABCD1,SERPINF1,IL11RA1,NINJ1,FABP5,CPE,COL5A1,SRGN,CD63,PLAT,DCN,PCSK5,LAMA2,FLT3L,PON3,YBX1,ADAMTS2,LAG3,LAMB1,CTSB,CYB5D2,CXCL12,JAM3,CHID1,C1QBP,NAXE,PPT1
GO:0048584	positive regulation of response to stimulus	4.691084828626454e-16	4.691084828626454e-16	+1	CCL21A,CCL19,LTA,CCL22,CXCL13,COL3A1,COL1A1,PTN,SFRP4,CCL5,SFRP2,CCL6,C3,SORL1,CLU,FN1,DPP4,IGFBP6,CD5L,PLA2G7,CTSS,DKK2,CCL9,CFP,C1QA,ACE,CFD,FGF18,EDN1,CCL8,HPSE,LY86,CHSY1,TSLP,HSP90AB1,CALR,C1QB,IL16,ADAM17,CD40,SDCBP,IL4RA,C1QC,EMILIN1,THPO,CD14,LOXL3,HMGB2,APOE,C1QTNF12,VTN,NINJ1,FABP5,CD63,PLAT,DCN,PCSK5,LAMA2,LAG3,LAMB1,C1RL,CXCL12,C1QBP
GO:0045595	regulation of cell differentiation	4.904197271303167e-16	4.904197271303167e-16	+1	CCL19,CTHRC1,LTA,POSTN,COL1A1,PTN,SFRP4,CCL5,SFRP2,PGLYRP2,SORL1,CLU,FN1,LRRC17,FST,FGL2,CCL9,ACE,PRXL2A,PI16,FGF18,EDN1,WNT2,CCL8,PGLYRP1,HPSE,ADAMTS12,IL15RA,FBN1,HSP90AB1,CALR,SDCBP,IL4RA,TNFAIP6,C1QC,TRF,EFEMP2,THPO,LOXL2,LOXL3,COL5A2,HMGB2,APOE,SERPINF1,NINJ1,NUCB2,COL5A1,LAMA2,FLT3L,YBX1,LAG3,LAMB1,CYB5D2,CXCL12,C1QBP
