"EnrichmentMap::Colouring (scat_d_en)","EnrichmentMap::ES (scat_d_en)","EnrichmentMap::fdr_qvalue (scat_d_en)","EnrichmentMap::fwer_qvalue (scat_d_en)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (scat_d_en)","EnrichmentMap::pvalue (scat_d_en)","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"0.9999956085224634",,"4.391477536624836E-6",,"PLAT|EMILIN1|CXCL13|NUCB2|COL1A2|COL3A1|COL1A1|SFRP2|MMP2|CTSS|FSTL1|ACE|ADAMTS12|COL5A2|ADAM17|SFRP4|TNFAIP6|SORL1|CTSB|FST|HYAL1|FGF18|C1QTNF12|WNT2|GREM2|CLEC3B|SERPINF1|FGF7|FBN1|HSP90AB1|CALR|YBX1|SDCBP|ASPN|EDN1","cellular response to endogenous stimulus","35","ENR","GO:0071495","1.0","4.391477536624836E-6","Cluster 3","Clustered","43.815384615384616","GO:0071495","false","GO:0071495"
"0.9999667611554837",,"3.323884451630011E-5",,"CCL21A|CCL19|CCL22|CXCL13|PTN|TIMP1|CCL5|CCL6|SFRP2|C3|CLU|FN1|CST7|CCL9|SERPINB1A|ACE|CCL8|PCOLCE|ANGPTL8|ACRBP|CTSD|ADAM17|CD40|ECM1|SORL1|APOC1|PI16|FGF18|FBN1|HSP90AB1|ANG|EDN1","regulation of catalytic activity","32","ENR","GO:0050790","1.0","3.323884451630011E-5","Cluster 1","Clustered","102.61139574600217","GO:0050790","false","GO:0050790"
"0.9999999999387382",,"6.126179067549562E-11",,"TRF|CCL21A|WFDC21|CCL19|LTA|CCL22|CXCL13|C3|CD5L|RNASE6|SPON2|C1QA|CFP|CCL8|ANG|PGLYRP1|CFD|TSLP|C1QB|C1QC","humoral immune response","20","ENR","GO:0006959","1.0","6.126179067549562E-11","Cluster 4","Clustered","68.97223340040242","GO:0006959","false","GO:0006959"
"0.9980111640338851",,"0.001988835966114874",,"ADAM17|ECM1|PTN|CCL5|HMGB2|APOE|HYAL1|SFRP2|FGF18|WNT2|SERPINF1|FGF7|ANG|SPARC","regulation of epithelial cell proliferation","14","ENR","GO:0050678","1.0","0.001988835966114874","Cluster 2","Clustered","53.760880696364566","GO:0050678","false","GO:0050678"
"0.9966906067219082",,"0.0033093932780917427",,"FGF7|ADAM17|ECM1|CXCL12|PTN|ANG|CCL5|HMGB2|HYAL1|FGF18|WNT2","positive regulation of epithelial cell proliferation","11","ENR","GO:0050679","1.0","0.0033093932780917427","Cluster 2","Clustered","53.15384615384615","GO:0050679","false","GO:0050679"
"0.9999999992236953",,"7.763046705457573E-10",,"CCL21A|EMILIN1|CCL19|TNFAIP6|CCL22|CXCL12|CXCL13|JAM3|C1QBP|CCL5|CCL6|SPP1|PLA2G7|NINJ1|DPP4|CCL9|CCL8|EDN1","myeloid leukocyte migration","18","ENR","GO:0097529","1.0","7.763046705457573E-10","Cluster 1","Clustered","100.17423991155334","GO:0097529","false","GO:0097529"
"0.9971282740340278",,"0.002871725965972145",,"ADAM17|CD40|CCL19|IL4RA|LAG3|LTA|C1RL|JAM3|LOXL3|C3|CD48|IL18BP|CTSS|DPP4|C1QA|C1QB|C1QC","adaptive immune response","17","ENR","GO:0002250","1.0","0.002871725965972145","Cluster 5","Clustered","29.317171717171718","GO:0002250","false","GO:0002250"
"0.9999991057275145",,"8.942724855157039E-7",,"CCL19|LAG3|LTA|C1RL|C1QBP|PGLYRP2|C3|CLU|ST3GAL1|CD5L|MILR1|C1QA|ACE|PGLYRP1|CD40|IL4RA|LOXL3|DPP4|SPON2|FGL2|CFP|GPI1|CFD|KARS|C1QB|C1QC","immune effector process","26","ENR","GO:0002252","1.0","8.942724855157039E-7","Cluster 5","Clustered","33.04102564102564","GO:0002252","false","GO:0002252"
"1.0",,"1.9115988295650185E-24",,"CCL21A|FLT3L|CCL19|LTA|CCL22|CXCL13|PTN|CCL5|PGLYRP2|IFI30|CCL6|IDE|C3|CD48|CLU|ST3GAL1|FN1|MFAP5|CD5L|IL18BP|PLA2G7|MILR1|CTSS|IL11RA1|CST7|CCL9|SERPINB1A|C1QA|ACE|CCL8|PGLYRP1|LY86|TSLP|ORM1|ORM3|IL16|ADAM17|CD40|IL4RA|TNFAIP6|ECM1|HP|GSDMD|CD14|LOXL3|HMGB2|APOE|NAMPT|NINJ1|RNASE6|DPP4|SPON2|FGL2|SSC5D|CFP|ANG|CFD|RNASET2B|EDN1|C1QB|C1QC|TRF|WFDC21|EMILIN1|LAG3|C1RL|CXCL12|JAM3|CHID1|C1QBP|COL3A1|SFRP2|VTN|LRRC17|FST|CTSK|PRXL2A|SPP1|IL15RA|FBN1|CALR|GPI1|THPO","immune system process","83","ENR","GO:0002376","1.0","1.9115988295650185E-24","Cluster 1","Clustered","87.87866772402855","GO:0002376","false","GO:0002376"
"0.999996221875058",,"3.778124942049713E-6",,"COL5A1|ECM1|SORL1|TIMP1|CTSK|COL3A1|COL1A1|HYAL1|SFRP2|FGF18|CHSY1|BMP1|ADAMTS12|EDN1|LOXL2","connective tissue development","15","ENR","GO:0061448","1.0","3.778124942049713E-6","Cluster 3","Clustered","45.45882352941177","GO:0061448","false","GO:0061448"
"0.9766584876468177",,"0.023341512353182287",,"DCN|EMILIN1|CXCL12|IL1R2|NUCB2|C1QBP|CCL5|SFRP2|CLU|CTHRC1|ADAMTS12|ADAM17|SFRP4|TNFAIP6|ECM1|SORL1|FST|HMGB2|APOE|DKK2|GREM2|FBN1|HSP90AB1|CALR|YBX1|ASPN|EDN1","negative regulation of signaling","27","ENR","GO:0023057","1.0","0.023341512353182287","Cluster 3","Clustered","43.07928913192071","GO:0023057","false","GO:0023057"
"0.9999999584632564",,"4.1536743588748E-8",,"CCL21A|DCN|CCL19|CCL22|CXCL12|PTN|NUCB2|C1QBP|CCL5|COL3A1|COL1A1|CCL6|SFRP2|C3|CLU|FN1|IGFBP6|CCL9|PCSK5|CCL8|HPSE|LY86|TSLP|ADAM17|LAMA2|CD40|LAMB1|SFRP4|SORL1|CD14|LOXL3|APOE|DKK2|FGF18|C1QTNF12|SPP1|CHSY1|NINJ1|HSP90AB1|CALR|SDCBP|THPO|EDN1|FABP5|CD63","positive regulation of signaling","45","ENR","GO:0023056","1.0","4.1536743588748E-8","Cluster 1","Clustered","90.93730355665839","GO:0023056","false","GO:0023056"
"0.9999999908139156",,"9.186084491715804E-9",,"CCL21A|CCL19|DPP4|CCL9|CCL22|CXCL13|CCL8|CCL5|CCL6|EDN1|SPP1","granulocyte migration","11","ENR","GO:0097530","1.0","9.186084491715804E-9","Cluster 1","Clustered","103.558352402746","GO:0097530","false","GO:0097530"
"0.9608592323644922",,"0.039140767635507834",,"C1QA|C3","complement-mediated synapse pruning","2","ENR","GO:0150062","1.0","0.039140767635507834","Cluster 5","Clustered","31.593650793650795","GO:0150062","false","GO:0150062"
"0.9999998593775474",,"1.4062245254974262E-7",,"PLAT|CCL21A|DCN|CCL19|CCL22|IL1R2|PTN|NUCB2|TIMP1|CCL5|CCL6|C3|CLU|FN1|CTHRC1|IGFBP6|CCL9|FSTL1|ACE|PCSK5|CCL8|HPSE|ADAMTS12|LY86|TSLP|ADAM17|CD40|TNFAIP6|ECM1|CD14|LOXL3|HMGB2|APOE|DKK2|C1QTNF12|GREM2|NINJ1|YBX1|EDN1|EMILIN1|CXCL12|C1QBP|POSTN|COL3A1|COL1A1|SFRP2|LAMA2|LAMB1|SFRP4|SORL1|FST|FGF18|SPP1|CHSY1|FBN1|HSP90AB1|CALR|SDCBP|THPO|ASPN|FABP5|SRGN|CD63","regulation of signaling","63","ENR","GO:0023051","1.0","1.4062245254974262E-7","Cluster 1","Clustered","90.93730355665839","GO:0023051","false","GO:0023051"
"0.9999999971082427",,"2.891757271132925E-9",,"DCN|EMILIN1|CXCL13|COL1A2|COL3A1|COL1A1|SFRP2|FSTL1|ADAMTS12|ADAM17|SFRP4|TNFAIP6|SORL1|FST|HYAL1|FGF18|WNT2|GREM2|CLEC3B|FGF7|FBN1|HSP90AB1|SDCBP|SPARC|ASPN|EDN1|CD63","cellular response to growth factor stimulus","27","ENR","GO:0071363","1.0","2.891757271132925E-9","Cluster 3","Clustered","46.14156079854809","GO:0071363","false","GO:0071363"
"0.999994489606849",,"5.510393150967012E-6",,"CCL21A|IL22RA2|CCL19|LTA|CCL22|CXCL13|IL1R2|PTN|TIMP1|CCL5|CCL6|C3|CLU|FN1|CCL9|ACE|CCL8|PGLYRP1|HPSE|ADAMTS12|LY86|TSLP|IL16|ADAM17|CD40|IL4RA|TNFAIP6|ECM1|HP|CD14|LOXL3|HMGB2|APOE|C1QTNF12|NAMPT|NINJ1|CFD|EDN1|TRF|EMILIN1|LAG3|CXCL12|JAM3|C1QBP|COL1A2|POSTN|COL3A1|COL1A1|SFRP2|OLFML2B|COL4A5|ADAMTS14|LAMA2|LAMB1|SFRP4|SORL1|FST|FGF18|WNT2|SPP1|CHSY1|FGF7|IL15RA|FBN1|HSP90AB1|CALR|SDCBP|BMP1|GPI1|THPO|ASPN|FABP5|CPE|SRGN|CD63|PLAT|DCN|FLT3L|GZMA|NUCB2|CD48|MILR1|IL11RA1|CTHRC1|IGFBP6|FSTL1|PCSK5|CPZ|ANGPTL8|DHH|ANGPTL1|CLEC11A|DKK2|SEMA3B|GREM2|OGN|YBX1|HAPLN4|PPT1|KARS|HDGF","signaling","101","ENR","GO:0023052","1.0","5.510393150967012E-6","Cluster 1","Clustered","89.22884283246978","GO:0023052","false","GO:0023052"
"0.9855249202579223",,"0.014475079742077745",,"CCL21A|CCL19|HSP90AB1|CXCL12|C1QBP|THPO|HPSE|C1QTNF12","positive regulation of protein kinase B signaling","8","ENR","GO:0051897","1.0","0.014475079742077745","Cluster 4","Clustered","70.69297297297298","GO:0051897","false","GO:0051897"
"0.9851400831754741",,"0.014859916824525893",,"IL18BP|ADAM17|CD40|CCL19|IL4RA|LTA|DPP4|C1QA|LOXL3|C3|C1QB|C1QC","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","12","ENR","GO:0002460","1.0","0.014859916824525893","Cluster 5","Clustered","30.916943521594686","GO:0002460","false","GO:0002460"
"0.999991848161878",,"8.151838121960838E-6",,"TRF|CCL21A|CCL19|SFRP4|SDCBP|APOC1|PPT1|C3|CLU|VTN|CD63","regulation of receptor-mediated endocytosis","11","ENR","GO:0048259","1.0","8.151838121960838E-6","Cluster 4","Clustered","69.18414918414918","GO:0048259","false","GO:0048259"
"0.9952192915615425",,"0.004780708438457432",,"C1QA|C3|C1QB|C1QC","cell junction disassembly","4","ENR","GO:0150146","1.0","0.004780708438457432","Cluster 5","Clustered","32.0","GO:0150146","false","GO:0150146"
"0.9997772109748854",,"2.227890251145837E-4",,"CD40|CCL19|IL4RA|LAG3|LTA|C1QBP|LOXL3|PGLYRP2|C3|CD5L|DPP4|SPON2|FGL2|CFP|GPI1|PGLYRP1","regulation of immune effector process","16","ENR","GO:0002697","1.0","2.227890251145837E-4","Cluster 5","Clustered","32.826122448979596","GO:0002697","false","GO:0002697"
"0.9883183094293565",,"0.011681690570643551",,"CCL21A|CCL19","regulation of antigen processing and presentation","2","ENR","GO:0002577","1.0","0.011681690570643551","Cluster 1","Clustered","96.76886792452831","GO:0002577","false","GO:0002577"
"0.9999624458375533",,"3.755416244663084E-5",,"TRF|CCL21A|ADAM17|CD40|EMILIN1|CCL19|SFRP4|CCL22|SORL1|CCL5|APOE|CCL6|SFRP2|C3|FGF18|FN1|IGFBP6|CCL9|CCL8|THPO|EDN1","MAPK cascade","21","ENR","GO:0000165","1.0","3.755416244663084E-5","Cluster 1","Clustered","90.44021739130434","GO:0000165","false","GO:0000165"
"0.999999999118774",,"8.812259699354819E-10",,"CCL21A|CCL19|CCL22|CXCL12|CXCL13|JAM3|CHL1|PTN|C1QBP|CCL5|CCL6|FN1|PLA2G7|CCL9|CCL8|IL16|ADAM17|LAMA2|TNFAIP6|HMGB2|FGF18|SPP1|FGF7|NINJ1|DPP4|CALR|EDN1","chemotaxis","27","ENR","GO:0006935","1.0","8.812259699354819E-10","Cluster 1","Clustered","99.42553897180763","GO:0006935","false","GO:0006935"
"0.957499191501195",,"0.04250080849880504",,"CD40|CCL19|IL4RA|LTA|DPP4|SPON2|CFP|GPI1|C3","positive regulation of immune effector process","9","ENR","GO:0002699","1.0","0.04250080849880504","Cluster 5","Clustered","28.693693693693696","GO:0002699","false","GO:0002699"
"0.9963261935851134",,"0.003673806414886609",,"CCL21A|CCL19","positive regulation of antigen processing and presentation","2","ENR","GO:0002579","1.0","0.003673806414886609","Cluster 1","Clustered","96.76886792452831","GO:0002579","false","GO:0002579"
"0.99908125138359",,"9.187486164098931E-4",,"CCL21A|CXCL13|CCL5","positive regulation of lymphocyte chemotaxis","3","ENR","GO:0140131","1.0","9.187486164098931E-4","Cluster 1","Clustered","101.42813455657492","GO:0140131","false","GO:0140131"
"0.999997144316387",,"2.8556836130114898E-6",,"TRF|CCL21A|CCL19|SFRP4|PPT1|C3|CLU|VTN|CD63","positive regulation of receptor-mediated endocytosis","9","ENR","GO:0048260","1.0","2.8556836130114898E-6","Cluster 4","Clustered","72.01084010840108","GO:0048260","false","GO:0048260"
"0.9999746710337107",,"2.5328966289248312E-5",,"COL5A1|COL4A5|FBN1|JAM3|COL1A2|COL3A1|COL1A1|LUM|COL5A2|FN1|SPP1|VTN","Integrin cell surface interactions","12","ENR","REAC:R-MMU-216083","1.0","2.5328966289248312E-5","Cluster 8","Clustered","33.0","REAC:R-MMU-216083","false","REAC:R-MMU-216083"
"0.9999932219566054",,"6.7780433945947525E-6",,"FLT3L|CCL19|IL4RA|LAG3|TNFAIP6|LRRC17|LOXL3|CCL5|PGLYRP2|PRXL2A|NINJ1|IL15RA|FBN1|FGL2|PGLYRP1|C1QC","regulation of leukocyte differentiation","16","ENR","GO:1902105","1.0","6.7780433945947525E-6","Cluster 7","Clustered","35.904862579281186","GO:1902105","false","GO:1902105"
"0.9999818116076352",,"1.8188392364821913E-5",,"FBN1|IL4RA|LAG3|TNFAIP6|FGL2|LRRC17|PGLYRP1|LOXL3|PGLYRP2|C1QC","negative regulation of leukocyte differentiation","10","ENR","GO:1902106","1.0","1.8188392364821913E-5","Cluster 7","Clustered","35.80566801619433","GO:1902106","false","GO:1902106"
"0.9754830344524689",,"0.024516965547531158",,"COL4A5|COL14A1|DPP4|ELN|COL1A2|COL3A1|COL1A1","Protein digestion and absorption","7","ENR","KEGG:04974","1.0","0.024516965547531158","Cluster 6","Clustered","31.0","KEGG:04974","false","KEGG:04974"
"1.0",,"1.985264402385708E-29",,"CCL21A|IL22RA2|CCL19|LTA|CCL22|CXCL13|IL1R2|PTN|TIMP1|CCL5|PGLYRP2|CCL6|C3|CLU|FN1|CD5L|PLA2G7|CTSS|CST7|CCL9|SERPINB1A|C1QA|ACE|CCL8|PGLYRP1|HPSE|ADAMTS12|LY86|TSLP|ORM1|ORM3|IL16|ADAM17|CD40|IL4RA|TNFAIP6|ECM1|HP|GSDMD|CD14|LOXL3|HMGB2|APOE|HYAL1|C1QTNF12|NAMPT|ABCD1|SERPINF1|NINJ1|ADAMTS4|RNASE6|DPP4|SPON2|FGL2|SSC5D|CFP|ANG|CFD|RNASET2B|EDN1|LYZ2|C1QB|C1QC|TRF|WFDC21|EMILIN1|LAG3|C1RL|CXCL12|JAM3|CHID1|C1QBP","defense response","72","ENR","GO:0006952","1.0","1.985264402385708E-29","Cluster 1","Clustered","96.35378537450617","GO:0006952","false","GO:0006952"
"0.9933223061398164",,"0.006677693860183602",,"CTHRC1|PTN","ossification involved in bone remodeling","2","ENR","GO:0043932","1.0","0.006677693860183602","Cluster 8","Clustered","39.5959595959596","GO:0043932","false","GO:0043932"
"1.0",,"1.1635734187892493E-19",,"PLAT|CCL21A|IL22RA2|CCL19|LTA|CCL22|CXCL13|IL1R2|CHL1|PTN|TIMP1|CCL5|PGLYRP2|CCL6|C3|CLU|FN1|CD5L|PLA2G7|CTSS|CST7|IGFBP6|CCL9|SERPINB1A|C1QA|ACE|CCL8|PGLYRP1|HPSE|ADAMTS12|LY86|TSLP|ORM1|ORM3|IL16|ADAM17|CD40|IL4RA|TNFAIP6|ECM1|HP|GSDMD|CD14|LOXL3|HMGB2|APOE|HYAL1|C1QTNF12|NAMPT|ABCD1|SERPINF1|GPX3|NINJ1|ADAMTS4|RNASE6|DPP4|SPON2|YBX1|FGL2|SSC5D|CFP|ANG|CFD|RNASET2B|EDN1|LYZ2|C1QB|C1QC|TRF|WFDC21|EMILIN1|LAG3|C1RL|CXCL12|JAM3|CHID1|C1QBP|COL3A1|COL1A1|SFRP2|MMP2|VWA1|LOXL2|VTN|COL5A1|SFRP4|SPP1|FGF7|HSP90AB1|CALR|GPI1","response to stress","91","ENR","GO:0006950","1.0","1.1635734187892493E-19","Cluster 1","Clustered","88.7887919640497","GO:0006950","false","GO:0006950"
"0.9914871859046028",,"0.008512814095397211",,"CCL21A|CCL19","dendritic cell antigen processing and presentation","2","ENR","GO:0002468","1.0","0.008512814095397211","Cluster 1","Clustered","96.76886792452831","GO:0002468","false","GO:0002468"
"0.9999525985721648",,"4.7401427835160876E-5",,"CCL21A|DCN|EMILIN1|TNFAIP6|CXCL12|CXCL13|PTN|TIMP1|COL3A1|APOE|SFRP2|SERPINF1|DPP4|CALR|CD63","negative regulation of cell motility","15","ENR","GO:2000146","1.0","4.7401427835160876E-5","Cluster 3","Clustered","51.66346153846154","GO:2000146","false","GO:2000146"
"0.999999999948686",,"5.1313917058915514E-11",,"DCN|EMILIN1|NAXE|CXCL12|JAM3|PTN|COL1A2|CCL5|COL3A1|COL1A1|SFRP2|C3|FN1|MMP2|COL14A1|ELN|ACE|PCSK5|EFEMP2|HPSE|FAP|MMP19|LOXL2|COL5A1|CD40|ECM1|APOE|PI16|HYAL1|FGF18|WNT2|SERPINF1|NINJ1|FBN1|CALR|ANG|SPARC|EDN1|CPE","circulatory system development","39","ENR","GO:0072359","1.0","5.1313917058915514E-11","Cluster 2","Clustered","55.604912280701754","GO:0072359","false","GO:0072359"
"1.0",,"1.8927536366550174E-17",,"TRF|CCL21A|DCN|EMILIN1|CCL19|CXCL12|CXCL13|JAM3|PTN|C1QBP|TIMP1|POSTN|CCL5|COL3A1|COL1A1|SFRP2|FN1|MMP2|PLA2G7|IGSF10|ACE|PCSK5|HPSE|VTN|ADAM17|LAMA2|CD40|LAMB1|TNFAIP6|ECM1|SORL1|APOE|HYAL1|FGF18|SERPINF1|FGF7|NINJ1|DPP4|CALR|SDCBP|GPI1|SPARC|EDN1|CD63","regulation of cell motility","44","ENR","GO:2000145","1.0","1.8927536366550174E-17","Cluster 1","Clustered","89.35251798561151","GO:2000145","false","GO:2000145"
"0.9789837231127104",,"0.021016276887289544",,"CCL21A|CCL19","dendritic cell migration","2","ENR","GO:0036336","1.0","0.021016276887289544","Cluster 1","Clustered","96.76886792452831","GO:0036336","false","GO:0036336"
"0.9999999999954359",,"4.564106873487128E-12",,"TRF|CCL21A|CCL19|CXCL12|CXCL13|JAM3|PTN|C1QBP|POSTN|CCL5|COL1A1|FN1|MMP2|PLA2G7|PCSK5|HPSE|VTN|ADAM17|CD40|LAMB1|TNFAIP6|HYAL1|FGF18|FGF7|CALR|SDCBP|GPI1|SPARC|EDN1","positive regulation of cell motility","29","ENR","GO:2000147","1.0","4.564106873487128E-12","Cluster 1","Clustered","88.62857142857143","GO:2000147","false","GO:2000147"
"0.9999999999999998",,"1.8725185286697945E-16",,"DCN|FLT3L|CCL19|NAXE|LTA|PTN|CCL5|PGLYRP2|C3|FN1|CST7|ACE|PGLYRP1|HPSE|ADAMTS12|CD40|IL4RA|TNFAIP6|ECM1|LOXL3|HMGB2|APOE|HYAL1|SERPINF1|NINJ1|FGL2|EDN1|C1QC|TRF|EMILIN1|LAG3|CXCL12|SFRP2|COL14A1|LOXL2|LAMA2|SFRP4|SORL1|LRRC17|FST|CTSK|PRXL2A|PI16|FGF18|WNT2|IL15RA|FBN1|BMP1|THPO|SPARC|ASPN|SRGN","regulation of multicellular organismal development","52","ENR","GO:2000026","1.0","1.8725185286697945E-16","Cluster 2","Clustered","54.11764705882353","GO:2000026","false","GO:2000026"
"0.9995341534184833",,"4.658465815166666E-4",,"SORL1|APOE|CLU","regulation of neurofibrillary tangle assembly","3","ENR","GO:1902996","1.0","4.658465815166666E-4","Cluster 3","Clustered","50.73672316384181","GO:1902996","false","GO:1902996"
"0.9562921415286718",,"0.043707858471328145",,"LIPG|SORL1|APOC1|C3","triglyceride metabolic process","4","ENR","GO:0006641","1.0","0.043707858471328145","Cluster 9","Clustered","19.333333333333332","GO:0006641","false","GO:0006641"
"0.9999581450616665",,"4.185493833350831E-5",,"ADAM17|EMILIN1|SFRP4|TNFAIP6|SORL1|FST|SFRP2|GREM2|FBN1|HSP90AB1|FSTL1|SDCBP|ASPN","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","13","ENR","GO:0090092","1.0","4.185493833350831E-5","Cluster 3","Clustered","46.28374455732946","GO:0090092","false","GO:0090092"
